0	0	0	0
0	0	1	1
0	0	2	2
0	0	3	3
0	0	4	4
0	0	5	5
0	0	6	6
0	0	7	7
0	0	8	8
0	0	9	9
0	0	b	b
0	0	c	c
0	0	d	d
0	0	f	f
0	0	g	g
0	0	h	h
0	0	j	j
0	0	k	k
0	0	l	l
0	0	n	n
0	0	p	p
0	0	q	q
0	0	r	r
0	0	s	s
0	0	t	t
0	0	v	v
0	0	w	w
0	0	x	x
0	0	y	y
0	0	z	z
0	0	I	I
0	0	V	V
0	0	X	X
0	0	L	L
0	0	C	C
0	0	_	_
0	1	eps	eps
0	0	a	X
0	0	e	9
0	0	o	0
0	0	u	8
0	2	i	V
2	0	r	r
0	3	i	L
3	0	0	0
3	0	1	1
3	0	2	2
3	0	3	3
3	0	4	4
3	0	5	5
3	0	6	6
3	0	7	7
3	0	8	8
3	0	9	9
3	0	a	a
3	0	b	b
3	0	c	c
3	0	d	d
3	0	e	e
3	0	f	f
3	0	g	g
3	0	h	h
3	0	i	i
3	0	j	j
3	0	k	k
3	0	l	l
3	0	m	m
3	0	n	n
3	0	o	o
3	0	p	p
3	0	q	q
3	0	s	s
3	0	t	t
3	0	u	u
3	0	v	v
3	0	w	w
3	0	x	x
3	0	y	y
3	0	z	z
3	0	I	I
3	0	V	V
3	0	X	X
3	0	L	L
3	0	C	C
3	0	_	_
0	4	m	eps
4	0	b	7
0	5	m	m
5	0	0	0
5	0	1	1
5	0	2	2
5	0	3	3
5	0	4	4
5	0	5	5
5	0	6	6
5	0	7	7
5	0	8	8
5	0	9	9
5	0	a	a
5	0	c	c
5	0	d	d
5	0	e	e
5	0	f	f
5	0	g	g
5	0	h	h
5	0	i	i
5	0	j	j
5	0	k	k
5	0	l	l
5	0	m	m
5	0	n	n
5	0	o	o
5	0	p	p
5	0	q	q
5	0	r	r
5	0	s	s
5	0	t	t
5	0	u	u
5	0	v	v
5	0	w	w
5	0	x	x
5	0	y	y
5	0	z	z
5	0	I	I
5	0	V	V
5	0	X	X
5	0	L	L
5	0	C	C
5	0	_	_
1
